기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년학급수(개),2학년학급수(개),3학년학급수(개),4학년학급수(개),5학년학급수(개),6학년학급수(개),특수학급수(개),순회학급수(개),합계사항
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,덕이중학교,,공립,,N,,11,10,8,,,,1,0,30
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,일산양일중학교,,공립,,N,,14,12,13,,,,1,0,40
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,신원중학교,,공립,,N,,9,6,6,,,,1,0,22
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,풍산중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,서정중학교,,공립,,N,,6,7,5,,,,2,0,20
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,고양송산중학교,,공립,,N,,9,9,8,,,,1,0,27
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,풍동중학교,,공립,,N,,9,8,7,,,,1,0,25
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,안곡중학교,,공립,,N,,11,12,11,,,,2,0,36
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,대송중학교,,공립,,N,,7,6,7,,,,1,0,21
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,현산중학교,,공립,,N,,6,4,6,,,,1,1,18
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,목암중학교,,공립,,N,,10,9,10,,,,1,0,30
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,일산초등학교,,공립,,N,,2,2,2,3,3,3,2,1,18
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,장성초등학교,,공립,,N,,3,3,3,2,3,3,1,0,18
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,장촌초등학교,,공립,,N,,2,2,2,2,1,2,0,0,11
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,저동초등학교,,공립,,N,,3,3,3,3,4,3,0,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,정발초등학교,,공립,,N,,6,6,6,7,7,7,0,0,39
2020,고양시,경기도고양교육지원청,경기도 고양시 일산서구,주엽초등학교,,공립,,N,,3,4,4,4,4,5,0,0,24
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,중산초등학교,,공립,,N,,3,3,4,3,3,3,0,0,19
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,지도초등학교,,공립,,N,,5,5,4,5,5,6,0,0,30
2020,고양시,경기도고양교육지원청,경기도 고양시 덕양구,토당초등학교,,공립,,N,,2,2,3,2,2,3,2,0,16
2020,고양시,경기도고양교육지원청,경기도 고양시 일산동구,풍산초등학교,,공립,,N,,5,5,6,6,5,7,2,0,36
